Transect	Quadrant	soil.type	X	Y	NO3f	NH4f	NO3i	NH4i	NMIN	NETN	PO4	Al	Ca	K	Mg	P	SBC	SN	TotalN	TotalC			
T1	51	V	827257.4607	1152911.495	0	411.1845298	0	446.2174286	-1.251175	0	0.648	820.2196443	388.5273765	100.733759	122.5086014	0	611.7697369	446.2174286	0.272222222	3.448148148			
T1	58	V	827261.416	1152905.72	0	94.6865592	0	121.5305838	-0.958715	0	0.484698533	775.7393704	303.0129693	44.15082538	122.2495452	0	469.4133399	121.5305838	0.184857172	2.772857575			
T1	59	V	827261.9811	1152904.895	8.296811991	251.8357456	0.091098086	163.3048256	3.45488	0.293061	0	956.4325256	426.7260641	77.11419007	169.825039	0	673.6652932	163.3959237	0.178771202	2.413411231			
T1	60	V	827262.5461	1152904.07	12.50964206	120.0293458	20.26000421	28.60478693	2.988364	-0.276799	1.326934679	1010.961737	489.9641707	135.7937373	240.6254509	0.942046427	866.3833589	48.86479114	0.177250624	2.392883426			
T1	61	V	827263.1111	1152903.245	0	53.27903092	0	96.49204426	-1.543322	0	0	1269.301539	316.0878206	84.1263264	146.3221712	0	546.5363182	96.49204426	0.183335322	2.291691524			
T1	63	V	827264.2412	1152901.595	0	114.8775655	0	106.3342436	0.305119	0	0.773285878	757.4179029	862.87367	122.7691711	351.8716647	0.342617784	1337.514506	106.3342436	0.188287416	3.859892034			
T1	65	V	827265.3713	1152899.944	0	124.1323719	0	123.7888898	0.012267	0	7.884942174	821.0389145	1371.18337	210.5596021	585.1059295	5.884426559	2166.848902	123.7888898	0.369076741	6.274304596			
T1	66	V	827265.9363	1152899.119	0	239.4209694	5.149188281	247.201	-0.461758	-0.1839	5.820916199	1231.789608	711.4197823	181.1424316	313.3788946	5.007822531	1205.941109	252.3501883	0.557025714	6.312958089			
T1	67	V	827266.5014	1152898.294	90.12276279	338.5298949	93.01259949	318.2823622	0.619918	-0.103208	0.324853258	1306.445209	569.6125552	128.3122369	162.7810703	9.592339206	860.7058624	411.2949617	0.379248159	4.740601991			
T1	68	V	827267.0664	1152897.469	32.99014654	138.927859	39.52865273	110.2631984	0.79022	-0.233518	0.246408482	1328.070382	229.7648352	70.67513405	74.00096108	1.100470861	374.4409303	149.7918511	0.272717885	3.090802699			
T1	69	V	827267.6315	1152896.644	144.2163678	398.5872865	167.8805539	351.0214201	0.853631	-0.84515	1.833796113	1374.510056	439.5604901	115.0356636	123.6797062	9.148894974	678.2758599	518.901974	0.378668051	3.881347523			
T1	70	V	827268.1965	1152895.819	144.1674269	418.2366574	190.5560765	296.44961	2.6928	-1.656737	1.334667407	1019.081549	369.9910699	120.9767346	116.9258306	2.366896548	607.8936351	487.0056865	0.352447357	4.4937038			
T1	71	V	827268.7615	1152894.994	254.6064994	439.9811585	287.7718229	473.1555061	-2.369274	-1.184476	4.54952195	1320.462841	459.7241626	139.9408018	128.9817401	12.3190863	728.6467045	760.927329	0.349127591	4.276812984			
T1	72	V	827269.3266	1152894.169	112.1179621	298.9257063	136.2445479	327.5036631	-1.882305	-0.861664	2.261978982	1368.055652	401.3974924	97.96128727	114.6941755	3.176683403	614.0529552	463.748211	0.361453403	4.608530885			
